ID,Expense_Description,Amount,Employee_ID,Date,Payment_Method,Category,Status,Notes,Department_ID
1,Operative empowering system engine,419.54,75,2024-09-17,Cash,Travel,Approved,Pay join several professor like medical.,4
2,Quality-focused bi-directional capacity,328.83,86,2024-09-16,Credit Card,Accommodation,Pending,Tough trouble collection arm cut people that street.,13
3,Reduced optimizing data-warehouse,959.59,33,2024-09-17,Bank Transfer,Travel,Approved,Our go skill take send.,1
4,Re-engineered system-worthy framework,199.96,20,2024-09-10,Bank Transfer,Miscellaneous,Pending,Break actually nothing throw.,2
5,Function-based neutral methodology,297.53,11,2024-09-07,Cash,Accommodation,Approved,Sport wish politics move Mr.,13
6,Polarized regional hierarchy,281.80,22,2024-09-12,Cash,Miscellaneous,Pending,Production miss sing detail.,5
7,Reduced full-range paradigm,138.52,8,2024-09-11,Credit Card,Miscellaneous,Rejected,Candidate east arrive buy gas.,12
8,Seamless intermediate pricing structure,704.88,35,2024-09-01,Credit Card,Food,Pending,See hear major it store car audience.,15
9,Multi-layered regional policy,963.09,27,2024-09-17,Credit Card,Food,Rejected,History author fear find else.,2
10,Centralized local open system,557.27,94,2024-09-07,Cash,Accommodation,Rejected,Skin soon no.,18
11,Customer-focused next generation protocol,700.64,43,2024-09-06,Cash,Accommodation,Rejected,About between writer.,7
12,Programmable system-worthy database,683.21,94,2024-09-16,Bank Transfer,Accommodation,Rejected,Eat rather fact wish before my.,2
13,Diverse client-driven software,796.51,73,2024-09-10,Bank Transfer,Travel,Rejected,Ok fill culture minute machine.,17
14,Synergized even-keeled implementation,393.11,26,2024-09-10,Cash,Travel,Approved,Various word when summer language particular day popular.,5
15,Decentralized system-worthy groupware,243.48,32,2024-09-03,Bank Transfer,Miscellaneous,Rejected,Yes picture think our several mean.,19
16,Expanded leadingedge core,821.22,9,2024-09-16,Bank Transfer,Miscellaneous,Pending,Finish present magazine eight one somebody clearly.,12
17,De-engineered global artificial intelligence,403.74,27,2024-09-13,Cash,Travel,Pending,College new pattern back something mother hold.,15
18,Upgradable intermediate middleware,830.11,86,2024-09-17,Credit Card,Accommodation,Rejected,Time matter society.,20
19,Re-contextualized heuristic complexity,577.88,14,2024-09-04,Credit Card,Miscellaneous,Approved,Produce size house three ability.,9
20,Customizable tertiary capability,739.37,14,2024-09-08,Cash,Food,Rejected,Trip apply father ready big politics.,2
21,Integrated bandwidth-monitored middleware,377.99,79,2024-09-09,Cash,Accommodation,Approved,During fill seek summer natural meet look.,15
22,Balanced multi-state complexity,820.42,12,2024-09-08,Bank Transfer,Accommodation,Approved,And attention east approach owner.,14
23,User-friendly local moratorium,636.05,8,2024-09-01,Cash,Accommodation,Pending,Contain unit past sense experience.,1
24,Pre-emptive grid-enabled customer loyalty,199.84,19,2024-09-11,Credit Card,Miscellaneous,Rejected,Wear sport human.,4
25,Extended 5thgeneration structure,635.58,21,2024-09-18,Cash,Travel,Pending,Hour indicate writer listen city media agent.,16
26,Extended responsive ability,957.54,66,2024-09-03,Bank Transfer,Travel,Approved,Clear evidence safe institution understand television.,13
27,Face-to-face secondary monitoring,364.30,64,2024-09-03,Cash,Travel,Rejected,Check soon despite exist.,20
28,Grass-roots upward-trending adapter,665.51,39,2024-09-06,Bank Transfer,Travel,Rejected,Nor able finish our case behind.,13
29,Integrated maximized alliance,736.38,10,2024-09-10,Credit Card,Food,Rejected,State get speak him indeed another.,18
30,Virtual 24/7 Local Area Network,486.28,26,2024-09-17,Cash,Miscellaneous,Rejected,Without run society energy.,3
31,Multi-channeled intermediate focus group,428.48,25,2024-09-13,Bank Transfer,Food,Approved,Price sit maintain.,19
32,Triple-buffered responsive encryption,832.08,19,2024-09-11,Credit Card,Food,Pending,Meet here necessary player strong again guess bill.,17
33,Reduced bottom-line protocol,299.69,30,2024-09-18,Credit Card,Travel,Approved,Give leave past second still.,9
34,Fundamental bi-directional productivity,576.64,52,2024-09-07,Bank Transfer,Miscellaneous,Approved,Stop law scientist artist economy think eat.,18
35,Reverse-engineered bottom-line open system,760.98,61,2024-09-11,Cash,Miscellaneous,Approved,Art spring particularly light best benefit various.,8
36,Team-oriented object-oriented Local Area Network,196.47,93,2024-09-15,Cash,Accommodation,Rejected,Yourself she attack partner still enjoy.,10
37,Seamless logistical definition,362.08,64,2024-09-07,Cash,Miscellaneous,Rejected,Person thing nation.,1
38,Automated tangible leverage,417.84,3,2024-09-15,Cash,Food,Pending,Kid fight religious phone contain.,20
39,Multi-tiered clear-thinking portal,315.29,25,2024-09-16,Credit Card,Accommodation,Rejected,Husband particular want meeting positive.,15
40,Quality-focused background concept,614.46,96,2024-09-14,Cash,Miscellaneous,Pending,It final current head field.,14
41,Implemented encompassing capacity,190.50,72,2024-09-02,Credit Card,Travel,Rejected,Upon tonight fish growth.,15
42,Visionary asynchronous alliance,642.99,36,2024-09-13,Credit Card,Food,Pending,Financial attack popular show picture man.,16
43,Intuitive modular initiative,443.47,41,2024-09-18,Credit Card,Food,Approved,Continue television second expect.,13
44,Programmable 5thgeneration adapter,124.67,54,2024-09-18,Credit Card,Food,Pending,Few race two crime TV.,19
45,Inverse 24hour moratorium,617.78,9,2024-09-14,Cash,Travel,Rejected,Ask first argue nothing person reality appear.,19
46,Diverse leadingedge moderator,707.22,36,2024-09-07,Cash,Food,Rejected,Ball mother own paper could short.,4
47,Cross-group system-worthy infrastructure,289.70,30,2024-09-16,Bank Transfer,Travel,Rejected,Student my light cause year between board.,10
48,Cross-group static orchestration,198.48,16,2024-09-13,Cash,Miscellaneous,Pending,Financial effect fast product management understand.,6
49,Configurable even-keeled infrastructure,418.21,9,2024-09-06,Credit Card,Travel,Rejected,Statement mean factor understand.,11
50,Reverse-engineered interactive implementation,114.73,31,2024-09-07,Bank Transfer,Travel,Approved,Be above range site able action car.,18
51,Enhanced bandwidth-monitored project,411.43,77,2024-09-13,Bank Transfer,Accommodation,Rejected,Break factor measure pressure tax improve discuss.,6
52,Balanced mobile approach,564.73,85,2024-09-01,Bank Transfer,Miscellaneous,Approved,Democrat public shake senior value.,11
53,Operative 5thgeneration approach,189.51,5,2024-09-07,Cash,Food,Rejected,Throw box push can.,6
54,User-friendly homogeneous knowledgebase,616.86,9,2024-09-07,Cash,Travel,Pending,Majority economic style occur turn remember spring.,16
55,User-centric 4thgeneration framework,586.66,63,2024-09-01,Credit Card,Miscellaneous,Pending,Its media product wrong admit.,10
56,Cross-group secondary extranet,704.53,83,2024-09-11,Cash,Miscellaneous,Rejected,Brother two eight shake.,16
57,Re-engineered needs-based complexity,713.89,92,2024-09-18,Bank Transfer,Miscellaneous,Pending,Happy help top draw.,20
58,Multi-channeled stable attitude,986.16,20,2024-09-04,Credit Card,Food,Rejected,Not degree effort agree kid.,10
59,Programmable modular challenge,573.77,21,2024-09-09,Bank Transfer,Miscellaneous,Pending,Father establish tend at direction miss technology stand.,11
60,Synergized exuding collaboration,584.97,38,2024-09-13,Cash,Food,Rejected,Give those total magazine down visit whether population.,19
61,Down-sized global matrices,685.23,44,2024-09-08,Cash,Accommodation,Rejected,Door indicate address director hope either.,1
62,Intuitive incremental service-desk,164.81,52,2024-09-18,Bank Transfer,Food,Pending,Model either fine pick hospital put mouth.,2
63,Assimilated demand-driven hierarchy,599.54,60,2024-09-08,Credit Card,Food,Approved,Prove personal administration some school push.,18
64,Devolved bandwidth-monitored open system,391.53,78,2024-09-15,Cash,Accommodation,Pending,Good may even middle cost check employee.,19
65,Phased bifurcated hub,583.18,13,2024-09-14,Bank Transfer,Travel,Approved,Floor local result prepare.,7
66,Distributed encompassing knowledge user,402.11,8,2024-09-13,Cash,Miscellaneous,Pending,Behind pattern challenge half design exactly.,10
67,Implemented user-facing software,284.43,64,2024-09-17,Credit Card,Travel,Rejected,Hot story writer learn find little professor.,15
68,Diverse bifurcated process improvement,134.76,78,2024-09-11,Credit Card,Accommodation,Approved,Citizen money type tree.,14
69,Total local solution,945.91,48,2024-09-06,Cash,Miscellaneous,Rejected,Also dog last pay.,14
70,Re-contextualized attitude-oriented encoding,752.32,72,2024-09-14,Credit Card,Miscellaneous,Rejected,Pretty record smile could short.,7
71,Team-oriented 24hour utilization,481.42,72,2024-09-15,Bank Transfer,Travel,Rejected,Ask walk structure lead hotel use.,15
72,Reduced client-server conglomeration,679.92,3,2024-09-01,Bank Transfer,Food,Approved,Must practice what above blue.,4
73,Object-based holistic functionalities,150.76,75,2024-09-08,Cash,Food,Approved,Five occur identify central company author national.,10
74,Re-engineered empowering throughput,859.09,66,2024-09-07,Bank Transfer,Food,Rejected,Themselves treat drive personal.,18
75,Up-sized bi-directional customer loyalty,765.03,57,2024-09-11,Credit Card,Accommodation,Pending,Artist seek travel design.,7
76,Reverse-engineered multi-tasking synergy,824.65,64,2024-09-06,Credit Card,Accommodation,Rejected,From stock open window building of.,12
77,Secured modular moratorium,890.21,90,2024-09-05,Bank Transfer,Travel,Approved,Candidate require community fire husband include truth.,10
78,Streamlined fault-tolerant model,260.16,61,2024-09-16,Bank Transfer,Food,Rejected,You lose truth but statement cup team.,19
79,Automated bi-directional database,681.58,82,2024-09-10,Credit Card,Food,Approved,Local movement some low while they.,15
80,Synergized optimal database,933.87,80,2024-09-01,Cash,Miscellaneous,Rejected,Along drive record and environmental Congress.,20
81,Multi-tiered non-volatile standardization,900.87,76,2024-09-10,Bank Transfer,Food,Pending,Environmental method south night laugh close probably.,11
82,Team-oriented web-enabled extranet,283.37,7,2024-09-12,Bank Transfer,Accommodation,Pending,Republican article company.,18
83,Persistent uniform frame,618.02,21,2024-09-06,Credit Card,Food,Approved,Support toward itself west none sound.,18
84,Inverse radical emulation,971.93,86,2024-09-17,Bank Transfer,Travel,Rejected,Risk player hard guy cover.,10
85,Fully-configurable multi-tasking support,464.37,51,2024-09-15,Credit Card,Travel,Rejected,Four walk financial security something.,17
86,Optimized stable productivity,805.65,47,2024-09-06,Cash,Accommodation,Approved,Ask ten still watch.,11
87,Reduced user-facing conglomeration,926.40,65,2024-09-04,Credit Card,Accommodation,Approved,Stop already account enough take.,20
88,Cross-platform bi-directional complexity,242.07,47,2024-09-08,Bank Transfer,Miscellaneous,Rejected,Firm media back politics.,7
89,Focused high-level firmware,830.36,20,2024-09-12,Cash,Food,Approved,Dog campaign specific heart it study do.,2
90,Compatible secondary customer loyalty,487.76,74,2024-09-03,Cash,Miscellaneous,Pending,Indeed drop risk their shoulder rate why.,20
91,Optional impactful approach,642.27,45,2024-09-14,Bank Transfer,Food,Pending,Report article tree two rate take.,4
92,Upgradable mobile website,756.92,44,2024-09-18,Bank Transfer,Miscellaneous,Pending,Determine single require TV.,19
93,Inverse 24/7 extranet,793.71,61,2024-09-02,Bank Transfer,Food,Pending,Easy return woman answer.,16
94,Intuitive zero-defect productivity,697.78,77,2024-09-16,Cash,Food,Approved,Ground product economy whose step.,7
95,Persistent dynamic frame,641.95,83,2024-09-04,Cash,Accommodation,Pending,Past them mouth.,16
96,Realigned context-sensitive structure,319.79,61,2024-09-04,Cash,Miscellaneous,Rejected,Sound choice spring city despite lay.,4
97,Distributed asynchronous synergy,922.96,46,2024-09-10,Cash,Food,Rejected,Training woman attorney.,3
98,Distributed mobile intranet,169.76,44,2024-09-04,Bank Transfer,Accommodation,Pending,Kid field our goal.,18
99,Proactive explicit orchestration,279.21,90,2024-09-03,Cash,Travel,Pending,Second know marriage mention own film.,2
100,Persevering next generation protocol,641.47,25,2024-09-18,Credit Card,Travel,Approved,Professional newspaper play.,6
